               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.03426,            0.037027,             0.01039,             0.99237,                   1,               0.995,             0.78126,            0.022226,            0.033501,           0.0072692,            0.002575,            0.002575,            0.002575
                  77,            0.028748,            0.034137,            0.010546,             0.96611,                   1,               0.995,             0.68263,            0.028302,            0.035637,           0.0072002,            0.002476,            0.002476,            0.002476
                  78,            0.027919,            0.037484,           0.0097063,             0.99256,                   1,               0.995,             0.75811,            0.022808,            0.033892,           0.0071188,            0.002377,            0.002377,            0.002377
                  79,            0.023754,            0.028005,           0.0098223,             0.98007,                   1,               0.995,              0.7492,            0.027774,            0.035932,           0.0069281,            0.002278,            0.002278,            0.002278
                  80,            0.030181,             0.03653,           0.0098554,             0.99265,                   1,               0.995,             0.78341,            0.022615,            0.033638,           0.0068844,            0.002179,            0.002179,            0.002179
                  81,            0.027211,            0.034592,           0.0092918,             0.99181,                   1,               0.995,             0.73871,             0.02461,            0.034068,           0.0068086,             0.00208,             0.00208,             0.00208
                  82,            0.026958,            0.038257,           0.0092213,             0.99264,                   1,               0.995,             0.77117,            0.021954,            0.033264,           0.0067578,            0.001981,            0.001981,            0.001981
                  83,            0.023434,            0.032411,           0.0093509,             0.99262,                   1,               0.995,             0.79197,            0.023462,            0.034363,           0.0066043,            0.001882,            0.001882,            0.001882
                  84,            0.026707,            0.034606,           0.0086144,             0.99265,                   1,               0.995,             0.79499,            0.021398,            0.032878,           0.0065413,            0.001783,            0.001783,            0.001783
                  85,            0.025554,            0.030763,           0.0086226,             0.99278,                   1,               0.995,             0.80031,            0.022896,            0.034348,            0.006507,            0.001684,            0.001684,            0.001684
                  86,            0.024962,            0.034757,           0.0088719,             0.99282,                   1,               0.995,              0.8159,              0.0209,            0.033361,           0.0064519,            0.001585,            0.001585,            0.001585
                  87,            0.022957,            0.031338,           0.0089252,             0.99285,                   1,               0.995,             0.74817,            0.023058,            0.034269,           0.0063815,            0.001486,            0.001486,            0.001486
                  88,            0.026021,            0.031478,           0.0091995,             0.99289,                   1,               0.995,             0.81253,            0.019842,            0.032427,           0.0063404,            0.001387,            0.001387,            0.001387
                  89,            0.023332,            0.029889,           0.0088239,               0.993,                   1,               0.995,             0.80097,            0.021667,            0.033043,           0.0062963,            0.001288,            0.001288,            0.001288
                  90,            0.022785,            0.035851,           0.0084849,             0.99302,                   1,               0.995,             0.81592,            0.019652,            0.032247,           0.0062696,            0.001189,            0.001189,            0.001189
                  91,            0.021956,            0.028915,           0.0078995,             0.99329,                   1,               0.995,             0.79599,             0.02156,            0.032903,           0.0061833,             0.00109,             0.00109,             0.00109
                  92,            0.024804,            0.035176,           0.0091323,             0.99331,                   1,               0.995,             0.82654,            0.018663,            0.031558,           0.0061517,            0.000991,            0.000991,            0.000991
                  93,            0.021991,            0.027989,           0.0078753,             0.99369,                   1,               0.995,             0.81441,             0.02058,            0.032455,           0.0061116,            0.000892,            0.000892,            0.000892
                  94,            0.021504,            0.029795,           0.0075422,             0.99373,                   1,               0.995,             0.82258,             0.01871,             0.03156,           0.0060666,            0.000793,            0.000793,            0.000793
                  95,            0.022122,            0.029281,           0.0082596,             0.99411,                   1,               0.995,             0.81881,            0.019272,            0.031644,           0.0059872,            0.000694,            0.000694,            0.000694
                  96,            0.022383,            0.032827,           0.0079382,             0.99427,                   1,               0.995,              0.8363,            0.018372,            0.031296,           0.0059625,            0.000595,            0.000595,            0.000595
                  97,             0.02283,            0.033579,           0.0091903,             0.99424,                   1,               0.995,             0.83368,            0.018676,            0.031314,           0.0059493,            0.000496,            0.000496,            0.000496
                  98,            0.022045,            0.034702,           0.0080214,             0.99437,                   1,               0.995,             0.83659,            0.018562,            0.031197,           0.0059293,            0.000397,            0.000397,            0.000397
                  99,            0.021142,            0.027787,            0.007893,              0.9944,                   1,               0.995,             0.83669,            0.018332,             0.03111,           0.0059043,            0.000298,            0.000298,            0.000298
